points,x,y
0,0.02,-14.95
0,0.04,-16.28
0,0.07,-13.45
0,1.51,-14.72
0,-1.18,-14.04
0,1.22,-15.88
0,1.17,-14.08
0,-0.84,-16.03
0,-1.00,-14.02
0,0.92,-13.89
0,-0.18,15.07
0,-1.43,14.73
0,1.45,15.19
0,-0.16,16.42
0,0.00,13.60
0,-1.18,14.13
0,1.14,14.13
0,0.73,16.22
0,-1.44,14.97
0,-1.20,15.90
1,13.61,-22.35
1,9.66,-16.10
1,6.92,-12.97
1,4.11,-10.79
1,-0.36,-9.67
1,-5.02,-11.15
1,-6.91,-13.09
1,-8.15,-14.08
1,-10.06,-16.18
1,-11.31,-18.42
1,-13.05,-21.04
1,-14.15,-23.52
2,19.01,-2.32
2,8.48,-1.59
2,2.35,-1.53
2,-1.91,-1.87
2,-6.73,-2.05
2,-11.28,-2.45
2,-13.53,-2.50
2,-15.98,-2.70
2,-17.84,-2.70
3,-17.18,14.25
3,-14.38,13.41
3,-11.39,12.48
3,-8.78,10.94
3,-6.46,9.33
3,-3.15,8.31
3,0.51,7.79
3,3.85,8.40
3,6.84,9.55
3,9.39,11.19
3,11.21,12.68
3,14.36,14.55
3,17.44,16.00
4,18.92,-10.07
4,11.45,-8.22
4,7.04,-7.23
4,2.89,-6.30
4,-2.69,-6.32
4,-7.33,-7.43
4,-12.24,-9.17
4,-17.44,-10.63
5,19.25,5.43
5,12.58,4.64
5,5.76,3.72
5,0.12,2.99
5,-6.18,3.41
5,-10.65,3.60
5,-14.58,4.27
5,-17.93,4.54
6,-0.13,22.81
6,3.00,21.93
6,4.46,20.33
6,4.67,17.80
6,4.79,16.26
6,3.87,13.51
6,2.44,12.06
6,0.78,11.54
6,-2.96,12.34
6,-4.57,15.82
6,-4.73,19.37
6,-3.60,21.52
6,-1.80,22.42
7,-0.44,-21.13
7,2.46,-20.10
7,3.99,-17.30
7,3.69,-14.40
7,2.62,-13.11
7,-0.32,-12.07
7,-3.07,-13.68
7,-3.82,-15.23
7,-4.07,-17.46
7,-3.56,-19.24
7,-2.48,-20.43