tau,tk_1,tk_2,t0_1,t0_2,tk,t0,tk-t0
652.779,21.6,21.5,20.1,20.1,21.55,20.1,1.4499999999999993
654.783,21.6,21.6,20.1,20.1,21.6,20.1,1.5
656.787,21.6,21.6,20.1,20.1,21.6,20.1,1.5
658.793,21.7,21.6,20.1,20.1,21.65,20.1,1.5499999999999972
660.799,21.7,21.6,20.1,20.1,21.65,20.1,1.5499999999999972
662.802,21.7,21.7,20.1,20.1,21.7,20.1,1.5999999999999979
664.805,21.7,21.7,20.1,20.1,21.7,20.1,1.5999999999999979
666.812,21.8,21.7,20.1,20.1,21.75,20.1,1.6499999999999986
668.817,21.8,21.7,20.2,20.1,21.75,20.15,1.6000000000000014
670.821,21.8,21.8,20.2,20.2,21.8,20.2,1.6000000000000014
672.825,21.8,21.8,20.2,20.2,21.8,20.2,1.6000000000000014
674.832,21.9,21.8,20.2,20.2,21.85,20.2,1.6500000000000021
676.837,21.9,21.8,20.2,20.2,21.85,20.2,1.6500000000000021
678.841,21.9,21.9,20.2,20.2,21.9,20.2,1.6999999999999993
680.847,21.9,21.9,20.2,20.2,21.9,20.2,1.6999999999999993
682.852,22.0,21.9,20.2,20.2,21.95,20.2,1.75
684.857,22.0,22.0,20.3,20.2,22.0,20.25,1.75
686.862,22.0,22.0,20.3,20.3,22.0,20.3,1.6999999999999993
688.867,22.1,22.0,20.3,20.3,22.05,20.3,1.75
690.873,22.1,22.0,20.3,20.3,22.05,20.3,1.75
692.879,22.1,22.1,20.3,20.3,22.1,20.3,1.8000000000000007
694.884,22.1,22.1,20.3,20.3,22.1,20.3,1.8000000000000007
696.889,22.2,22.1,20.3,20.3,22.15,20.3,1.8499999999999979
698.893,22.2,22.1,20.3,20.3,22.15,20.3,1.8499999999999979
700.897,22.2,22.2,20.3,20.3,22.2,20.3,1.8999999999999986
702.902,22.2,22.2,20.3,20.3,22.2,20.3,1.8999999999999986
704.908,22.3,22.2,20.3,20.3,22.25,20.3,1.9499999999999993
706.913,22.3,22.2,20.3,20.3,22.25,20.3,1.9499999999999993
708.916,22.3,22.3,20.3,20.3,22.3,20.3,2.0
710.92,22.3,22.3,20.3,20.3,22.3,20.3,2.0
712.924,22.4,22.3,20.3,20.3,22.35,20.3,2.0500000000000007
714.928,22.4,22.3,20.3,20.3,22.35,20.3,2.0500000000000007
716.931,22.4,22.4,20.3,20.3,22.4,20.3,2.099999999999998
718.935,22.4,22.4,20.3,20.3,22.4,20.3,2.099999999999998
720.939,22.5,22.4,20.3,20.3,22.45,20.3,2.1499999999999986
722.943,22.5,22.4,20.3,20.3,22.45,20.3,2.1499999999999986
724.947,22.5,22.5,20.3,20.3,22.5,20.3,2.1999999999999993
726.95,22.5,22.5,20.3,20.3,22.5,20.3,2.1999999999999993
728.955,22.6,22.5,20.3,20.3,22.55,20.3,2.25
730.961,22.6,22.5,20.3,20.3,22.55,20.3,2.25
732.967,22.6,22.6,20.3,20.3,22.6,20.3,2.3000000000000007
734.972,22.6,22.6,20.3,20.3,22.6,20.3,2.3000000000000007
736.977,22.7,22.6,20.3,20.3,22.65,20.3,2.349999999999998
738.983,22.7,22.6,20.3,20.3,22.65,20.3,2.349999999999998
740.989,22.7,22.7,20.3,20.3,22.7,20.3,2.3999999999999986
742.995,22.7,22.7,20.3,20.3,22.7,20.3,2.3999999999999986
745.001,22.8,22.7,20.3,20.3,22.75,20.3,2.4499999999999993
747.006,22.8,22.7,20.3,20.3,22.75,20.3,2.4499999999999993
749.01,22.8,22.8,20.3,20.3,22.8,20.3,2.5
751.014,22.8,22.8,20.3,20.3,22.8,20.3,2.5
753.018,22.9,22.8,20.3,20.3,22.85,20.3,2.5500000000000007
755.024,22.9,22.8,20.3,20.3,22.85,20.3,2.5500000000000007
757.028,22.9,22.9,20.3,20.3,22.9,20.3,2.599999999999998
759.032,22.9,22.9,20.3,20.3,22.9,20.3,2.599999999999998
761.036,23.0,22.9,20.2,20.3,22.95,20.25,2.6999999999999993
763.041,23.0,22.9,20.2,20.3,22.95,20.25,2.6999999999999993
765.046,23.0,23.0,20.2,20.3,23.0,20.25,2.75
767.051,23.0,23.0,20.2,20.2,23.0,20.2,2.8000000000000007
769.055,23.1,23.0,20.2,20.2,23.05,20.2,2.8500000000000014
771.058,23.1,23.0,20.2,20.2,23.05,20.2,2.8500000000000014
773.061,23.1,23.1,20.2,20.2,23.1,20.2,2.900000000000002
775.066,23.1,23.1,20.2,20.2,23.1,20.2,2.900000000000002
777.071,23.2,23.1,20.2,20.2,23.15,20.2,2.9499999999999993
779.076,23.2,23.1,20.2,20.2,23.15,20.2,2.9499999999999993
781.079,23.2,23.2,20.2,20.2,23.2,20.2,3.0
783.085,23.2,23.2,20.2,20.2,23.2,20.2,3.0
785.09,23.3,23.2,20.2,20.2,23.25,20.2,3.0500000000000007
787.095,23.3,23.2,20.2,20.2,23.25,20.2,3.0500000000000007
789.1,23.3,23.3,20.2,20.2,23.3,20.2,3.1000000000000014
791.104,23.3,23.3,20.2,20.2,23.3,20.2,3.1000000000000014
793.108,23.4,23.3,20.2,20.2,23.35,20.2,3.150000000000002
795.112,23.4,23.3,20.2,20.2,23.35,20.2,3.150000000000002
797.117,23.4,23.4,20.2,20.2,23.4,20.2,3.1999999999999993
799.12,23.4,23.4,20.2,20.2,23.4,20.2,3.1999999999999993
801.125,23.5,23.4,20.2,20.2,23.45,20.2,3.25
803.13,23.5,23.4,20.2,20.2,23.45,20.2,3.25
805.135,23.5,23.5,20.2,20.2,23.5,20.2,3.3000000000000007
807.14,23.5,23.5,20.2,20.2,23.5,20.2,3.3000000000000007
809.145,23.6,23.5,20.2,20.2,23.55,20.2,3.3500000000000014
811.149,23.6,23.5,20.2,20.2,23.55,20.2,3.3500000000000014
813.154,23.6,23.6,20.2,20.2,23.6,20.2,3.400000000000002
815.159,23.6,23.6,20.2,20.2,23.6,20.2,3.400000000000002
817.164,23.7,23.6,20.2,20.2,23.65,20.2,3.4499999999999993
819.168,23.7,23.6,20.2,20.2,23.65,20.2,3.4499999999999993
821.176,23.7,23.7,20.2,20.2,23.7,20.2,3.5
823.179,23.7,23.7,20.2,20.2,23.7,20.2,3.5
825.186,23.8,23.7,20.2,20.2,23.75,20.2,3.5500000000000007
827.189,23.8,23.7,20.2,20.2,23.75,20.2,3.5500000000000007
829.195,23.8,23.8,20.2,20.2,23.8,20.2,3.6000000000000014
831.199,23.8,23.8,20.2,20.2,23.8,20.2,3.6000000000000014
833.205,23.9,23.8,20.2,20.2,23.85,20.2,3.650000000000002
835.208,23.9,23.8,20.2,20.2,23.85,20.2,3.650000000000002
837.213,23.9,23.9,20.2,20.2,23.9,20.2,3.6999999999999993
839.219,23.9,23.9,20.2,20.2,23.9,20.2,3.6999999999999993
841.224,24.0,23.9,20.2,20.2,23.95,20.2,3.75
843.229,24.0,23.9,20.2,20.2,23.95,20.2,3.75
845.235,24.0,24.0,20.2,20.2,24.0,20.2,3.8000000000000007
847.238,24.0,24.0,20.2,20.2,24.0,20.2,3.8000000000000007
849.243,24.1,24.0,20.2,20.2,24.05,20.2,3.8500000000000014
851.248,24.1,24.0,20.2,20.2,24.05,20.2,3.8500000000000014
853.253,24.1,24.1,20.2,20.2,24.1,20.2,3.900000000000002
855.258,24.1,24.1,20.2,20.2,24.1,20.2,3.900000000000002
857.262,24.2,24.1,20.2,20.2,24.15,20.2,3.9499999999999993
859.267,24.2,24.1,20.2,20.2,24.15,20.2,3.9499999999999993
861.272,24.2,24.2,20.2,20.2,24.2,20.2,4.0
863.277,24.2,24.2,20.2,20.2,24.2,20.2,4.0
865.282,24.3,24.2,20.2,20.2,24.25,20.2,4.050000000000001
867.286,24.3,24.2,20.2,20.2,24.25,20.2,4.050000000000001
869.292,24.3,24.3,20.2,20.2,24.3,20.2,4.100000000000001
871.297,24.3,24.3,20.2,20.2,24.3,20.2,4.100000000000001
873.302,24.4,24.3,20.2,20.2,24.35,20.2,4.150000000000002
875.306,24.4,24.3,20.2,20.2,24.35,20.2,4.150000000000002
877.311,24.4,24.4,20.2,20.2,24.4,20.2,4.199999999999999
879.315,24.4,24.4,20.2,20.2,24.4,20.2,4.199999999999999
881.319,24.5,24.4,20.2,20.2,24.45,20.2,4.25
883.324,24.5,24.4,20.2,20.2,24.45,20.2,4.25
885.328,24.5,24.5,20.2,20.2,24.5,20.2,4.300000000000001
887.332,24.5,24.5,20.2,20.2,24.5,20.2,4.300000000000001
889.338,24.6,24.5,20.2,20.2,24.55,20.2,4.350000000000001
891.342,24.6,24.5,20.2,20.2,24.55,20.2,4.350000000000001
893.347,24.6,24.6,20.2,20.2,24.6,20.2,4.400000000000002
895.353,24.6,24.6,20.2,20.2,24.6,20.2,4.400000000000002
897.358,24.7,24.6,20.2,20.2,24.65,20.2,4.449999999999999
899.364,24.7,24.6,20.2,20.2,24.65,20.2,4.449999999999999
901.369,24.7,24.7,20.2,20.2,24.7,20.2,4.5
903.373,24.7,24.7,20.2,20.2,24.7,20.2,4.5
905.377,24.8,24.7,20.2,20.2,24.75,20.2,4.550000000000001
907.381,24.8,24.7,20.2,20.2,24.75,20.2,4.550000000000001
909.386,24.8,24.8,20.2,20.2,24.8,20.2,4.600000000000001
911.393,24.8,24.8,20.2,20.2,24.8,20.2,4.600000000000001
913.397,24.9,24.8,20.2,20.2,24.85,20.2,4.650000000000002
915.401,24.9,24.8,20.2,20.2,24.85,20.2,4.650000000000002
917.406,24.9,24.9,20.2,20.2,24.9,20.2,4.699999999999999
919.412,24.9,24.9,20.2,20.2,24.9,20.2,4.699999999999999
921.415,25.0,24.9,20.2,20.2,24.95,20.2,4.75
923.42,25.0,24.9,20.2,20.2,24.95,20.2,4.75
925.425,25.0,25.0,20.2,20.2,25.0,20.2,4.800000000000001
927.43,25.0,25.0,20.2,20.2,25.0,20.2,4.800000000000001
929.433,25.1,25.0,20.2,20.2,25.05,20.2,4.850000000000001
931.438,25.1,25.0,20.2,20.2,25.05,20.2,4.850000000000001
933.445,25.1,25.1,20.2,20.2,25.1,20.2,4.900000000000002
935.449,25.1,25.1,20.3,20.2,25.1,20.25,4.850000000000001
937.453,25.2,25.1,20.3,20.2,25.15,20.25,4.899999999999999
939.46,25.2,25.1,20.3,20.2,25.15,20.25,4.899999999999999
941.464,25.2,25.2,20.3,20.3,25.2,20.3,4.899999999999999
943.469,25.2,25.2,20.3,20.3,25.2,20.3,4.899999999999999
945.474,25.2,25.2,20.3,20.2,25.2,20.25,4.949999999999999
947.479,25.3,25.2,20.3,20.2,25.25,20.25,5.0
949.483,25.3,25.3,20.3,20.2,25.3,20.25,5.050000000000001
951.488,25.3,25.3,20.3,20.2,25.3,20.25,5.050000000000001
953.494,25.3,25.3,20.3,20.2,25.3,20.25,5.050000000000001
955.498,25.4,25.3,20.2,20.2,25.35,20.2,5.150000000000002
957.503,25.4,25.3,20.3,20.2,25.35,20.25,5.100000000000001
959.508,25.4,25.4,20.3,20.2,25.4,20.25,5.149999999999999
961.512,25.4,25.4,20.3,20.2,25.4,20.25,5.149999999999999
963.516,25.5,25.4,20.3,20.3,25.45,20.3,5.149999999999999
965.522,25.5,25.4,20.3,20.3,25.45,20.3,5.149999999999999
967.526,25.5,25.5,20.3,20.3,25.5,20.3,5.199999999999999
969.531,25.5,25.5,20.3,20.3,25.5,20.3,5.199999999999999
971.538,25.6,25.5,20.3,20.3,25.55,20.3,5.25
973.543,25.6,25.5,20.3,20.3,25.55,20.3,5.25
975.548,25.6,25.6,20.3,20.3,25.6,20.3,5.300000000000001
977.553,25.6,25.6,20.3,20.3,25.6,20.3,5.300000000000001
979.558,25.7,25.6,20.3,20.3,25.65,20.3,5.349999999999998
981.562,25.7,25.6,20.3,20.3,25.65,20.3,5.349999999999998
983.566,25.7,25.7,20.3,20.3,25.7,20.3,5.399999999999999
985.57,25.7,25.7,20.3,20.3,25.7,20.3,5.399999999999999
987.574,25.8,25.7,20.3,20.3,25.75,20.3,5.449999999999999
989.58,25.8,25.7,20.3,20.3,25.75,20.3,5.449999999999999
991.583,25.8,25.8,20.3,20.3,25.8,20.3,5.5
993.588,25.8,25.8,20.3,20.3,25.8,20.3,5.5
995.594,25.9,25.8,20.3,20.3,25.85,20.3,5.550000000000001
997.599,25.9,25.8,20.3,20.2,25.85,20.25,5.600000000000001
999.603,25.9,25.9,20.3,20.2,25.9,20.25,5.649999999999999
1001.61,25.9,25.9,20.3,20.2,25.9,20.25,5.649999999999999
1003.61,26.0,25.9,20.3,20.3,25.95,20.3,5.649999999999999
1005.61,26.0,25.9,20.3,20.3,25.95,20.3,5.649999999999999
1007.62,26.0,26.0,20.3,20.3,26.0,20.3,5.699999999999999
1009.62,26.0,26.0,20.3,20.3,26.0,20.3,5.699999999999999
1011.62,26.1,26.0,20.3,20.3,26.05,20.3,5.75
1013.63,26.1,26.0,20.3,20.3,26.05,20.3,5.75
1015.63,26.1,26.0,20.3,20.3,26.05,20.3,5.75
1017.63,26.1,26.1,20.3,20.3,26.1,20.3,5.800000000000001
1019.64,26.1,26.1,20.3,20.3,26.1,20.3,5.800000000000001
1021.64,26.2,26.1,20.3,20.3,26.15,20.3,5.849999999999998
1023.65,26.2,26.1,20.3,20.3,26.15,20.3,5.849999999999998
1025.65,26.2,26.2,20.3,20.3,26.2,20.3,5.899999999999999
1027.66,26.2,26.2,20.4,20.4,26.2,20.4,5.800000000000001
1029.66,26.3,26.2,20.4,20.4,26.25,20.4,5.850000000000001
1031.67,26.3,26.2,20.4,20.4,26.25,20.4,5.850000000000001
1033.67,26.3,26.3,20.4,20.4,26.3,20.4,5.900000000000002
1035.68,26.3,26.3,20.4,20.4,26.3,20.4,5.900000000000002
1037.68,26.4,26.3,20.4,20.4,26.35,20.4,5.950000000000003
1039.69,26.4,26.3,20.4,20.4,26.35,20.4,5.950000000000003
1041.69,26.4,26.4,20.4,20.4,26.4,20.4,6.0
1043.69,26.4,26.4,20.4,20.4,26.4,20.4,6.0
1045.7,26.5,26.4,20.4,20.4,26.45,20.4,6.050000000000001
1047.7,26.5,26.4,20.4,20.4,26.45,20.4,6.050000000000001
1049.71,26.5,26.5,20.4,20.4,26.5,20.4,6.100000000000001
1051.71,26.5,26.5,20.3,20.4,26.5,20.35,6.149999999999999
1053.71,26.6,26.5,20.3,20.4,26.55,20.35,6.199999999999999
1055.71,26.6,26.5,20.3,20.3,26.55,20.3,6.25
1057.72,26.6,26.6,20.3,20.3,26.6,20.3,6.300000000000001
1059.72,26.6,26.6,20.3,20.3,26.6,20.3,6.300000000000001
1061.73,26.6,26.6,20.3,20.3,26.6,20.3,6.300000000000001
1063.74,26.7,26.6,20.3,20.3,26.65,20.3,6.349999999999998
1065.74,26.7,26.6,20.3,20.3,26.65,20.3,6.349999999999998
1067.74,26.7,26.7,20.3,20.3,26.7,20.3,6.399999999999999
1069.75,26.7,26.7,20.3,20.3,26.7,20.3,6.399999999999999
1071.76,26.8,26.7,20.3,20.4,26.75,20.35,6.399999999999999
1073.76,26.8,26.7,20.3,20.4,26.75,20.35,6.399999999999999
1075.76,26.8,26.8,20.3,20.4,26.8,20.35,6.449999999999999
1077.77,26.8,26.8,20.4,20.4,26.8,20.4,6.400000000000002
1079.77,26.9,26.8,20.4,20.4,26.85,20.4,6.450000000000003
1081.78,26.9,26.8,20.4,20.4,26.85,20.4,6.450000000000003
1083.78,26.9,26.9,20.4,20.4,26.9,20.4,6.5
1085.79,26.9,26.9,20.3,20.4,26.9,20.35,6.549999999999997
1087.79,27.0,26.9,20.3,20.4,26.95,20.35,6.599999999999998
1089.8,27.0,26.9,20.4,20.4,26.95,20.4,6.550000000000001
1091.8,27.0,27.0,20.4,20.4,27.0,20.4,6.600000000000001
1093.81,27.0,27.0,20.4,20.4,27.0,20.4,6.600000000000001
1095.81,27.1,27.0,20.4,20.4,27.05,20.4,6.650000000000002
1097.82,27.1,27.0,20.4,20.4,27.05,20.4,6.650000000000002
1099.82,27.1,27.1,20.4,20.4,27.1,20.4,6.700000000000003
1101.83,27.1,27.1,20.4,20.4,27.1,20.4,6.700000000000003
1103.83,27.1,27.1,20.4,20.4,27.1,20.4,6.700000000000003
1105.84,27.2,27.1,20.4,20.4,27.15,20.4,6.75
1107.84,27.2,27.1,20.4,20.4,27.15,20.4,6.75
1109.84,27.2,27.2,20.4,20.4,27.2,20.4,6.800000000000001
1111.85,27.2,27.2,20.4,20.4,27.2,20.4,6.800000000000001
1113.86,27.3,27.2,20.4,20.4,27.25,20.4,6.850000000000001
1115.86,27.3,27.2,20.4,20.4,27.25,20.4,6.850000000000001
1117.86,27.3,27.3,20.4,20.4,27.3,20.4,6.900000000000002
1119.87,27.3,27.3,20.4,20.4,27.3,20.4,6.900000000000002
1121.87,27.4,27.3,20.4,20.4,27.35,20.4,6.950000000000003
1123.88,27.4,27.3,20.4,20.4,27.35,20.4,6.950000000000003
1125.88,27.4,27.4,20.4,20.4,27.4,20.4,7.0
1127.89,27.4,27.4,20.4,20.4,27.4,20.4,7.0
1129.89,27.5,27.4,20.4,20.4,27.45,20.4,7.050000000000001
1131.9,27.5,27.4,20.3,20.4,27.45,20.35,7.099999999999998
1133.9,27.5,27.5,20.3,20.4,27.5,20.35,7.149999999999999
1135.91,27.5,27.5,20.3,20.4,27.5,20.35,7.149999999999999
1137.91,27.5,27.5,20.3,20.3,27.5,20.3,7.199999999999999
1139.91,27.6,27.5,20.3,20.3,27.55,20.3,7.25
1141.92,27.6,27.5,20.3,20.3,27.55,20.3,7.25
1143.92,27.6,27.6,20.3,20.3,27.6,20.3,7.300000000000001
1145.93,27.6,27.6,20.3,20.3,27.6,20.3,7.300000000000001
1147.93,27.7,27.6,20.3,20.3,27.65,20.3,7.349999999999998
1149.94,27.7,27.6,20.3,20.3,27.65,20.3,7.349999999999998
1151.94,27.7,27.7,20.3,20.3,27.7,20.3,7.399999999999999
1153.95,27.7,27.7,20.3,20.3,27.7,20.3,7.399999999999999
1155.96,27.8,27.7,20.3,20.3,27.75,20.3,7.449999999999999
1157.96,27.8,27.7,20.3,20.3,27.75,20.3,7.449999999999999
1159.97,27.8,27.8,20.3,20.3,27.8,20.3,7.5
1161.97,27.8,27.8,20.3,20.3,27.8,20.3,7.5
1163.97,27.9,27.8,20.3,20.3,27.85,20.3,7.550000000000001
1165.98,27.9,27.8,20.3,20.3,27.85,20.3,7.550000000000001
1167.98,27.9,27.8,20.3,20.3,27.85,20.3,7.550000000000001
1169.99,27.9,27.9,20.3,20.3,27.9,20.3,7.599999999999998
1171.99,27.9,27.9,20.3,20.3,27.9,20.3,7.599999999999998
1174.0,28.0,27.9,20.3,20.3,27.95,20.3,7.649999999999999
1176.0,28.0,27.9,20.3,20.3,27.95,20.3,7.649999999999999
1178.0,28.0,28.0,20.3,20.3,28.0,20.3,7.699999999999999
1180.01,28.0,28.0,20.3,20.3,28.0,20.3,7.699999999999999
1182.01,28.1,28.0,20.3,20.3,28.05,20.3,7.75
1184.02,28.1,28.0,20.3,20.3,28.05,20.3,7.75
1186.02,28.1,28.1,20.3,20.3,28.1,20.3,7.800000000000001
1188.03,28.1,28.1,20.3,20.3,28.1,20.3,7.800000000000001
1190.03,28.2,28.1,20.3,20.3,28.15,20.3,7.849999999999998
1192.03,28.2,28.1,20.3,20.3,28.15,20.3,7.849999999999998
1194.04,28.2,28.2,20.3,20.3,28.2,20.3,7.899999999999999
1196.04,28.2,28.2,20.3,20.3,28.2,20.3,7.899999999999999
1198.05,28.2,28.2,20.3,20.3,28.2,20.3,7.899999999999999
1200.06,28.3,28.2,20.3,20.3,28.25,20.3,7.949999999999999
1202.06,28.3,28.2,20.3,20.3,28.25,20.3,7.949999999999999
1204.06,28.3,28.3,20.3,20.3,28.3,20.3,8.0
1206.07,28.3,28.3,20.3,20.3,28.3,20.3,8.0
1208.07,28.4,28.3,20.3,20.3,28.35,20.3,8.05
1210.07,28.4,28.3,20.3,20.3,28.35,20.3,8.05
1212.08,28.4,28.4,20.3,20.3,28.4,20.3,8.099999999999998
1214.09,28.4,28.4,20.3,20.3,28.4,20.3,8.099999999999998
1216.09,28.5,28.4,20.3,20.3,28.45,20.3,8.149999999999999
1218.09,28.5,28.4,20.3,20.3,28.45,20.3,8.149999999999999
1220.1,28.5,28.5,20.3,20.3,28.5,20.3,8.2
1222.1,28.5,28.5,20.3,20.3,28.5,20.3,8.2
1224.11,28.5,28.5,20.3,20.3,28.5,20.3,8.2
1226.11,28.6,28.5,20.3,20.3,28.55,20.3,8.25
1228.12,28.6,28.5,20.3,20.4,28.55,20.35,8.2
1230.12,28.6,28.6,20.3,20.4,28.6,20.35,8.25
1232.13,28.6,28.6,20.3,20.4,28.6,20.35,8.25
1234.13,28.7,28.6,20.3,20.4,28.65,20.35,8.299999999999997
1236.14,28.7,28.6,20.3,20.4,28.65,20.35,8.299999999999997
1238.14,28.7,28.7,20.3,20.4,28.7,20.35,8.349999999999998
1240.15,28.7,28.7,20.3,20.4,28.7,20.35,8.349999999999998
1242.15,28.8,28.7,20.3,20.4,28.75,20.35,8.399999999999999
1244.16,28.8,28.7,20.3,20.4,28.75,20.35,8.399999999999999
1246.16,28.8,28.8,20.3,20.4,28.8,20.35,8.45
1248.17,28.8,28.8,20.3,20.4,28.8,20.35,8.45
1250.17,28.8,28.8,20.3,20.4,28.8,20.35,8.45
1252.18,28.9,28.8,20.3,20.4,28.85,20.35,8.5
1254.18,28.9,28.8,20.3,20.4,28.85,20.35,8.5
1256.19,28.9,28.9,20.3,20.4,28.9,20.35,8.549999999999997
1258.19,28.9,28.9,20.3,20.4,28.9,20.35,8.549999999999997
1260.2,29.0,28.9,20.3,20.4,28.95,20.35,8.599999999999998
1262.2,29.0,28.9,20.3,20.4,28.95,20.35,8.599999999999998
1264.21,29.0,29.0,20.3,20.4,29.0,20.35,8.649999999999999
1266.21,29.0,29.0,20.3,20.4,29.0,20.35,8.649999999999999
1268.22,29.1,29.0,20.3,20.4,29.05,20.35,8.7
1270.22,29.1,29.0,20.4,20.4,29.05,20.4,8.650000000000002
1272.23,29.1,29.0,20.4,20.4,29.05,20.4,8.650000000000002
1274.23,29.1,29.1,20.4,20.4,29.1,20.4,8.700000000000003
1276.24,29.1,29.1,20.4,20.4,29.1,20.4,8.700000000000003
1278.24,29.2,29.1,20.4,20.4,29.15,20.4,8.75
1280.25,29.2,29.1,20.4,20.4,29.15,20.4,8.75
1282.25,29.2,29.2,20.3,20.4,29.2,20.35,8.849999999999998
1284.26,29.2,29.2,20.3,20.4,29.2,20.35,8.849999999999998
1286.26,29.3,29.2,20.3,20.4,29.25,20.35,8.899999999999999
1288.27,29.3,29.2,20.3,20.4,29.25,20.35,8.899999999999999
1290.27,29.3,29.3,20.3,20.4,29.3,20.35,8.95
1292.28,29.3,29.3,20.4,20.4,29.3,20.4,8.900000000000002
1294.28,29.3,29.3,20.3,20.4,29.3,20.35,8.95
1296.29,29.4,29.3,20.3,20.4,29.35,20.35,9.0
1298.29,29.4,29.3,20.3,20.4,29.35,20.35,9.0
1300.3,29.4,29.4,20.3,20.3,29.4,20.3,9.099999999999998
1302.3,29.4,29.4,20.3,20.3,29.4,20.3,9.099999999999998
1304.31,29.5,29.4,20.3,20.3,29.45,20.3,9.149999999999999
1306.31,29.5,29.4,20.3,20.3,29.45,20.3,9.149999999999999
1308.32,29.5,29.5,20.3,20.3,29.5,20.3,9.2
1310.33,29.5,29.5,20.3,20.3,29.5,20.3,9.2
1312.33,29.6,29.5,20.3,20.3,29.55,20.3,9.25
1314.34,29.6,29.5,20.3,20.3,29.55,20.3,9.25
1316.34,29.6,29.5,20.3,20.3,29.55,20.3,9.25
1318.35,29.6,29.6,20.3,20.3,29.6,20.3,9.3
1320.35,29.6,29.6,20.3,20.3,29.6,20.3,9.3
1322.36,29.7,29.6,20.3,20.3,29.65,20.3,9.349999999999998
1324.36,29.7,29.6,20.3,20.3,29.65,20.3,9.349999999999998
1326.37,29.7,29.7,20.3,20.3,29.7,20.3,9.399999999999999
1328.37,29.7,29.7,20.3,20.3,29.7,20.3,9.399999999999999
1330.38,29.8,29.7,20.3,20.3,29.75,20.3,9.45
1332.38,29.8,29.7,20.3,20.3,29.75,20.3,9.45
1334.38,29.8,29.8,20.3,20.3,29.8,20.3,9.5
